DateTime,"Melter Gas Flow Valve Opening  _DB885,DD670,QC","Header Gas Pressure -Gail_DB1367,DD0,QC","ThermoCouple Flue Pass left Inner _DB872,DD0,QC","ThermoCouple Flue Pass left outer _DB874,DD0,QC","ThermoCouple Flue Pass Right Inner _DB876,DD0,QC","ThermoCouple Flue Pass Right outer _DB879,DD0,QC","Glass level_DB1177,DD0,QC","Fibber Optic Thermometer -Distributer-zone -2_DB719,DD134,QC","Fibber Optic Thermometer -Distributer-zone -6_DB731,DD134,QC","High Pressure M/C-61_DB668,DD134,QC","High Pressure M/C-65_DB691,DD134,QC","ThermoCouple Regenratore Right_DB868,DD0,QC","ThermoCouple melter bottom -2_DB858,DD0,QC","Melter Gas Flow Setpoint _DB885,DD726,QC","Fiber Optic Thermometer -F/H65- Middle_DB189,DD134,QC","ThermoCouple melter Crown -1_DB845,DD0,QC","Throat cooling blower Pressure _DB837,DD134,QC",chem_comp_SiO2,chem_comp_Al2O3,chem_comp_Fe2O3,chem_comp_CaO,chem_comp_MgO,chem_comp_Na2O,chem_comp_K2O,chem_comp_SO3,physical_test_density_gm_cc,physical_test_seed_count_result,,"Melter Gas flow_DB885,DD134,QC"
28:57.4,46.17501068,1.911241293,464.3000183,565.7999878,177,153.1999969,0.009838104,1330.410889,1372.337891,40.90929031,39.84375,1302.400024,1260.5,820,1255.381958,1481.900024,251.3925018,69.84,2.2,0.021,8.54,2.13,13.64,1.09,0.223,2.5108,13,,821.4518433
41:57.4,47.18371582,1.911241293,211.6000061,177.3000031,394.1000061,437.3000183,-0.03182888,1330.338501,1372.280029,41.19141006,39.822052,1336.900024,1260.300049,820,1255.729126,1476,248.6798248,69.84,2.15,0.019,8.61,2.11,13.67,1.07,0.214,2.511,11,,822.1029053
54:57.4,46.66915894,1.905381918,162,245.6999969,444.2000122,455.8999939,0.082176208,1329.947876,1372.641846,41.01996613,40.21701431,1340.900024,1260,820,1256.004028,1476.200073,251.4648438,69.74,2.19,0.019,8.56,2.13,13.65,1.1,0.219,2.5076,12,,822.1571655
07:57.4,46.09487152,1.908854127,452.8000183,560.4000244,199.6000061,175.3000031,0.099536896,1329.49939,1372.569458,41.02213669,40.03906631,1305.900024,1259.800049,820,1256.40918,1480.599976,249.33992,69.76,2.15,0.0189,8.62,2.14,13.66,1.08,0.21,2.5085,13,,819.6072388
19:57.4,46.54915619,1.908203125,282.8999939,252.6999969,318,353.5,0.008101463,1329.441528,1372.280029,40.77257156,39.81119919,1327.800049,1259.700073,810,1256.293457,1478.599976,249.1590729,70,2.1,0.017,8.58,2.09,13.7,1.05,0.23,2.5076,12,,811.3607178
32:57.4,46.55731964,1.908203125,122.9000015,109.4000015,475.3999939,504.7000122,-0.003472328,1329.716431,1372.092041,41.03949738,39.78081894,1345.900024,1259.800049,810,1256.018555,1474.800049,250.8499756,70.08,2.07,0.017,8.53,2.03,13.67,1.05,0.226,2.5058,8,,804.0907593
45:57.4,45.24050522,1.905815959,422.2000122,549.6000366,240.3000031,218.6000061,0.055555344,1330.251709,1372.178833,40.85720825,39.765625,1309.300049,1260,810,1255.960693,1475.800049,248.3723907,70.24,2.06,0.0163,8.69,1.96,13.55,1.05,0.235,2.5067,18,,810.9266968
25:57.4,45.72024918,1.908854127,401.8999939,541.9000244,262.8000183,241.9000092,0.035301208,1329.730957,1371.903931,40.7313385,39.84375,1310.099976,1259.900024,820,1256.43811,1475.700073,247.9926147,70.94,1.96,0.017,8.08,2.05,13.74,1.01,0.246,2.5024,20,,822.8624268
40:57.4,46.59999084,1.916232705,345.1000061,333.3000183,253.5,272.7000122,0.108217239,1329.325806,1371.788208,40.98958588,39.95442963,1314.400024,1259.800049,820,1256.235596,1477.700073,249.8553162,70.62,2.17,0.019,8.1,2.08,13.65,1.01,0.235,2.5041,15,,824.00177
53:57.4,45.90074921,1.907769084,135.9000092,117,464,497,-0.035879612,1329.49939,1371.223877,40.92882156,40.16710281,1339.099976,1259.900024,815,1256.06189,1471.099976,249.0053558,70.56,2.09,0.018,8.08,2.07,13.61,1.05,0.233,2.5058,14,,819.1732178
